time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),sunshine_duration (s),precipitation_hours (h)
2010-01-01,73,-1.6,-3.2,2.90,16.3,31.0,0.00,12.0
2010-01-02,71,-1.2,-5.7,1.00,15.8,23.0,2114.82,8.0
2010-01-03,71,-4.9,-8.8,0.00,7.1,16.6,12470.87,0.0
2010-01-04,3,-6.3,-9.5,0.00,13.0,23.8,0.00,0.0
2010-01-05,3,-5.4,-11.7,0.00,11.2,20.5,16419.52,0.0
2010-01-06,3,-4.9,-12.7,0.00,8.6,14.8,0.00,0.0
2010-01-07,71,-5.7,-8.6,0.00,12.0,22.7,510.03,0.0
2010-01-08,71,-3.6,-9.4,0.50,23.2,43.2,3523.93,3.0
2010-01-09,73,-2.9,-3.6,11.40,28.0,52.9,0.00,24.0
2010-01-10,73,-2.9,-5.0,7.00,22.5,43.2,0.00,20.0
2010-01-11,71,-3.8,-8.0,1.10,11.0,23.8,0.00,7.0
2010-01-12,3,-3.7,-7.6,0.00,13.0,22.3,2089.72,0.0
2010-01-13,3,-2.5,-5.2,0.00,18.5,36.7,0.00,0.0
2010-01-14,3,-2.4,-5.3,0.00,16.5,34.9,3799.55,0.0
2010-01-15,3,-3.3,-6.2,0.00,13.7,25.9,12131.00,0.0
2010-01-16,3,-3.5,-5.1,0.00,19.7,37.4,4757.75,0.0
2010-01-17,73,0.8,-4.9,1.80,19.8,38.2,0.00,9.0
2010-01-18,3,0.5,-2.3,0.00,13.2,25.6,0.00,0.0
2010-01-19,71,0.7,-1.4,3.20,10.9,19.8,0.00,19.0
2010-01-20,71,-0.7,-8.2,1.00,15.6,31.3,0.00,6.0
2010-01-21,3,-7.8,-9.3,0.00,11.7,27.0,14464.33,0.0
2010-01-22,3,-7.3,-11.6,0.00,14.1,29.2,21940.57,0.0
2010-01-23,3,-9.4,-16.6,0.00,16.6,30.6,25647.96,0.0
2010-01-24,3,-10.9,-17.3,0.00,19.9,37.8,12161.34,0.0
2010-01-25,3,-9.3,-15.9,0.00,18.9,35.3,25849.33,0.0
2010-01-26,3,-12.8,-20.6,0.00,10.9,21.2,26534.50,0.0
2010-01-27,73,-2.0,-19.7,4.60,29.4,55.1,859.53,11.0
2010-01-28,73,1.5,-1.8,3.10,28.5,55.4,26121.55,11.0
2010-01-29,73,0.8,-2.6,3.60,19.3,37.8,0.00,8.0
2010-01-30,73,0.5,-8.7,1.20,34.8,68.0,6921.60,6.0
2010-01-31,73,-2.6,-10.5,1.20,15.5,28.1,21914.86,4.0
2010-02-01,71,0.2,-5.1,0.00,17.9,32.4,14901.70,0.0
2010-02-02,73,1.1,-5.9,5.50,29.0,53.6,10598.44,11.0
2010-02-03,73,2.0,-1.7,1.30,25.8,50.4,21316.26,3.0
2010-02-04,73,1.2,-3.0,2.30,14.3,26.3,0.00,7.0
2010-02-05,3,1.7,-3.0,0.00,18.5,36.4,27888.85,0.0
2010-02-06,3,1.5,-5.6,0.00,16.9,31.7,24574.04,0.0
2010-02-07,3,-5.2,-7.4,0.00,13.3,25.9,0.00,0.0
2010-02-08,3,-3.4,-6.3,0.00,9.3,17.3,0.00,0.0
2010-02-09,3,-4.5,-10.7,0.00,14.6,27.7,18677.86,0.0
2010-02-10,71,-4.5,-7.5,0.00,14.2,25.2,0.00,0.0
2010-02-11,73,-3.0,-6.8,1.80,21.9,39.2,0.00,8.0
2010-02-12,73,0.3,-3.1,3.40,17.1,30.2,0.00,13.0
2010-02-13,71,-0.7,-3.8,0.00,13.5,24.8,285.96,0.0
2010-02-14,3,-1.1,-4.8,0.00,6.5,14.4,534.17,0.0
2010-02-15,3,-0.9,-6.8,0.00,6.4,10.1,26646.46,0.0
2010-02-16,3,0.7,-7.3,0.00,10.6,18.4,29803.18,0.0
2010-02-17,3,0.4,-8.1,0.00,15.0,26.3,31613.02,0.0
2010-02-18,3,2.8,-4.9,0.00,12.0,20.2,3322.74,0.0
2010-02-19,51,3.4,-1.5,0.40,13.5,22.7,11483.19,2.0
2010-02-20,51,3.2,-4.4,0.20,17.4,33.8,31978.82,1.0
2010-02-21,3,1.7,-5.6,0.00,15.0,24.8,22751.91,0.0
2010-02-22,53,4.1,-4.9,1.70,19.3,36.4,21594.92,3.0
2010-02-23,73,5.0,-1.6,4.20,23.8,59.0,0.00,10.0
2010-02-24,73,1.2,-2.1,2.70,18.4,35.3,0.00,9.0
2010-02-25,3,6.2,0.4,0.00,14.8,26.6,32804.77,0.0
2010-02-26,53,4.5,2.1,1.90,20.7,37.4,1448.32,7.0
2010-02-27,53,6.2,0.6,0.90,20.9,40.0,31101.16,2.0
2010-02-28,53,8.2,0.2,2.00,33.4,67.0,18371.10,5.0
2010-03-01,53,5.1,1.0,3.40,38.0,74.2,19611.32,12.0
2010-03-02,51,4.6,0.3,0.20,23.4,50.4,33057.13,1.0
2010-03-03,71,4.1,-3.4,1.10,25.4,47.9,34227.77,9.0
2010-03-04,73,3.0,-4.0,0.60,18.7,40.3,34911.95,2.0
2010-03-05,71,0.4,-4.2,0.20,20.6,40.7,32486.21,2.0
2010-03-06,71,1.5,-4.3,0.40,21.6,42.5,35492.68,3.0
2010-03-07,3,2.6,-6.2,0.00,16.9,36.7,32701.93,0.0
2010-03-08,71,0.9,-4.1,0.10,11.9,27.4,23188.93,1.0
2010-03-09,3,2.6,-4.6,0.00,8.3,16.2,36798.49,0.0
2010-03-10,2,4.0,-4.6,0.00,10.9,22.7,37311.29,0.0
2010-03-11,3,2.9,-5.2,0.00,11.3,24.8,36623.79,0.0
2010-03-12,71,3.8,-1.2,3.10,21.0,39.6,0.00,16.0
2010-03-13,53,5.7,1.1,3.30,24.9,52.9,26278.26,17.0
2010-03-14,73,5.8,-0.7,9.20,29.3,60.8,2749.92,20.0
2010-03-15,73,4.3,-2.5,3.10,23.0,47.5,28569.06,12.0
2010-03-16,71,4.8,-1.6,0.60,22.8,47.9,36385.00,5.0
2010-03-17,51,8.9,0.1,0.20,17.9,39.6,16208.08,2.0
2010-03-18,3,14.1,1.9,0.00,14.0,29.5,35885.46,0.0
2010-03-19,3,16.0,4.4,0.00,18.7,41.8,21465.60,0.0
2010-03-20,53,14.6,8.5,2.50,19.5,39.2,8895.29,6.0
2010-03-21,61,12.8,5.1,6.30,20.8,43.2,5433.11,8.0
2010-03-22,3,11.6,2.5,0.00,13.4,27.0,38992.45,0.0
2010-03-23,3,13.1,4.8,0.00,21.6,43.9,39178.91,0.0
2010-03-24,3,14.8,0.4,0.00,15.5,34.9,34005.43,0.0
2010-03-25,3,18.0,5.5,0.00,13.5,27.0,41071.15,0.0
2010-03-26,51,20.3,6.2,0.50,23.9,48.6,31812.85,3.0
2010-03-27,61,11.9,4.3,9.10,27.0,59.0,17654.99,11.0
2010-03-28,53,11.4,5.5,1.50,19.3,43.2,34435.29,8.0
2010-03-29,53,9.7,2.3,2.60,11.8,23.8,0.00,8.0
2010-03-30,3,16.0,2.2,0.00,20.5,40.0,22589.90,0.0
2010-03-31,53,11.8,6.3,2.20,19.2,40.3,19768.68,4.0
2010-04-01,3,10.8,2.6,0.00,23.0,46.8,42341.86,0.0
2010-04-02,3,10.9,-0.3,0.00,9.6,21.6,42480.92,0.0
2010-04-03,51,12.3,-0.9,0.90,14.5,36.0,41194.56,5.0
2010-04-04,53,13.1,5.7,0.80,16.0,32.0,12877.85,2.0
2010-04-05,51,10.7,4.5,0.30,21.9,43.2,28917.84,3.0
2010-04-06,3,12.3,1.8,0.00,12.1,21.2,30270.14,0.0
2010-04-07,0,14.0,2.6,0.00,16.8,36.4,43561.54,0.0
2010-04-08,3,17.2,4.1,0.00,15.8,28.1,43408.42,0.0
2010-04-09,51,11.7,5.0,0.20,18.5,38.9,37023.30,2.0
2010-04-10,61,11.5,4.5,3.30,19.2,48.2,33700.20,6.0
2010-04-11,51,10.0,3.4,0.60,18.5,36.7,19081.42,4.0
2010-04-12,51,14.9,3.7,0.20,22.5,53.6,44125.33,1.0
2010-04-13,3,14.1,3.3,0.00,15.9,31.0,39717.18,0.0
2010-04-14,51,11.2,2.8,0.60,19.1,43.9,39559.13,3.0
2010-04-15,51,12.1,3.8,0.20,17.7,32.4,32849.45,2.0
2010-04-16,3,11.3,1.8,0.00,20.3,40.7,34116.63,0.0
2010-04-17,3,14.0,0.5,0.00,16.1,34.9,45780.91,0.0
2010-04-18,0,18.1,2.0,0.00,9.8,23.4,46351.56,0.0
2010-04-19,2,13.1,4.7,0.00,14.2,31.7,45867.56,0.0
2010-04-20,55,14.4,1.2,1.30,17.9,41.8,45233.66,2.0
2010-04-21,53,9.2,3.0,1.20,27.0,61.6,45160.99,5.0
2010-04-22,51,10.0,1.7,0.60,20.4,42.1,45539.01,4.0
2010-04-23,1,11.8,-0.3,0.00,9.8,25.9,42303.98,0.0
2010-04-24,3,14.9,3.0,0.00,12.6,23.4,48076.74,0.0
2010-04-25,3,18.7,4.6,0.00,15.1,33.1,48293.89,0.0
2010-04-26,53,16.4,8.3,5.40,18.6,34.9,29374.89,12.0
2010-04-27,51,14.6,6.8,0.10,24.5,49.0,38891.86,1.0
2010-04-28,3,18.6,4.0,0.00,11.9,33.1,48935.59,0.0
2010-04-29,3,22.9,9.1,0.00,13.8,31.0,39435.45,0.0
2010-04-30,51,21.7,11.4,0.10,25.6,57.6,39600.00,1.0
2010-05-01,3,17.2,9.4,0.00,15.4,34.6,37160.73,0.0
2010-05-02,51,14.6,5.5,0.10,11.9,24.5,28569.47,1.0
2010-05-03,61,10.2,6.5,9.80,15.2,29.5,0.00,13.0
2010-05-04,3,10.7,4.7,0.00,9.9,16.2,4772.21,0.0
2010-05-05,3,12.4,3.4,0.00,19.0,33.5,50167.51,0.0
2010-05-06,55,7.4,5.7,8.30,26.4,56.2,0.00,18.0
2010-05-07,51,12.1,6.0,0.30,12.8,22.3,3140.06,1.0
2010-05-08,51,13.7,4.9,0.30,13.1,25.6,39670.76,2.0
2010-05-09,51,15.4,6.9,0.10,9.2,31.3,47581.12,1.0
2010-05-10,53,13.6,7.4,1.20,14.1,30.6,37812.79,3.0
2010-05-11,53,14.2,7.8,1.30,17.6,36.0,6399.89,3.0
2010-05-12,53,17.0,9.4,0.90,18.4,41.0,30954.68,2.0
2010-05-13,3,12.1,8.1,0.00,11.0,22.0,2784.90,0.0
2010-05-14,53,11.4,8.1,1.00,15.6,28.4,0.00,5.0
2010-05-15,61,8.1,5.7,20.70,23.1,45.0,0.00,21.0
2010-05-16,3,14.6,6.7,0.00,23.9,49.0,36249.73,0.0
2010-05-17,3,14.6,6.1,0.00,22.4,45.0,27610.22,0.0
2010-05-18,61,12.8,7.5,4.00,24.4,49.7,5757.83,5.0
2010-05-19,63,14.7,8.4,18.10,18.9,38.5,0.00,14.0
2010-05-20,51,18.2,11.3,0.30,10.7,18.7,496.48,3.0
2010-05-21,3,20.1,11.2,0.00,12.5,27.4,47764.71,0.0
2010-05-22,3,19.6,8.7,0.00,14.4,29.5,47115.32,0.0
2010-05-23,51,20.4,13.2,0.40,16.9,43.2,27374.29,2.0
2010-05-24,63,19.8,11.4,11.30,16.1,56.5,46076.12,10.0
2010-05-25,3,13.8,6.5,0.00,25.5,50.0,35593.17,0.0
2010-05-26,53,14.8,4.0,1.00,10.7,24.5,42999.60,2.0
2010-05-27,53,14.4,7.8,2.80,15.0,34.9,21101.54,5.0
2010-05-28,55,16.6,6.8,5.70,13.2,33.8,26538.67,10.0
2010-05-29,3,18.0,5.2,0.00,12.8,24.5,51119.92,0.0
2010-05-30,63,17.6,11.7,8.30,13.7,33.5,32149.46,15.0
2010-05-31,61,13.4,9.0,7.90,22.6,42.8,0.00,15.0
2010-06-01,53,12.3,8.6,3.30,20.0,41.0,0.00,9.0
2010-06-02,3,15.0,9.8,0.00,27.0,51.1,414.38,0.0
2010-06-03,3,20.8,11.0,0.00,21.6,46.1,53066.10,0.0
2010-06-04,1,20.9,9.0,0.00,14.1,31.7,52818.55,0.0
2010-06-05,3,23.4,11.4,0.00,7.2,18.7,53733.09,0.0
2010-06-06,3,25.7,14.2,0.00,10.4,15.8,52513.43,0.0
2010-06-07,61,21.8,14.7,4.80,25.8,60.8,43200.00,4.0
2010-06-08,51,23.0,11.7,0.20,12.5,25.2,53834.23,1.0
2010-06-09,3,27.5,15.4,0.00,11.5,31.3,52012.21,0.0
2010-06-10,3,28.5,18.0,0.00,9.8,30.2,51175.95,0.0
2010-06-11,61,27.0,18.4,1.40,25.2,48.2,54060.43,1.0
2010-06-12,51,18.4,12.7,0.20,19.6,40.7,4637.50,1.0
2010-06-13,51,16.6,10.6,0.10,22.3,42.8,16308.44,1.0
2010-06-14,3,17.9,11.3,0.00,8.0,20.9,28867.62,0.0
2010-06-15,51,18.5,10.1,0.40,15.6,35.3,53367.79,3.0
2010-06-16,0,20.2,7.2,0.00,15.1,33.8,54855.93,0.0
2010-06-17,0,22.0,9.6,0.00,14.0,30.6,55038.52,0.0
2010-06-18,3,22.5,10.3,0.00,22.2,46.1,52609.63,0.0
2010-06-19,51,16.4,10.6,0.10,20.9,42.5,44601.94,1.0
2010-06-20,3,16.9,8.3,0.00,12.7,28.4,40242.25,0.0
2010-06-21,51,17.9,9.2,0.30,15.3,33.5,52830.67,2.0
2010-06-22,3,20.2,9.0,0.00,14.1,32.0,49579.36,0.0
2010-06-23,3,20.1,11.4,0.00,11.1,27.4,33153.43,0.0
2010-06-24,2,23.9,11.2,0.00,14.0,31.3,54334.65,0.0
2010-06-25,2,24.0,14.8,0.00,13.2,26.6,52119.00,0.0
2010-06-26,3,22.4,14.5,0.00,13.2,31.3,53723.48,0.0
2010-06-27,0,23.9,11.0,0.00,9.5,20.9,54931.12,0.0
2010-06-28,0,27.2,12.3,0.00,11.3,25.9,55065.45,0.0
2010-06-29,2,29.7,15.1,0.00,10.0,22.7,54896.96,0.0
2010-06-30,3,26.1,17.9,0.00,15.2,33.1,53487.55,0.0
2010-07-01,51,25.5,16.2,0.20,10.0,22.7,50034.40,2.0
2010-07-02,3,30.6,16.5,0.00,11.3,21.6,50731.08,0.0
2010-07-03,3,31.3,18.3,0.00,14.0,29.9,54500.39,0.0
2010-07-04,3,31.6,19.4,0.00,13.8,26.6,52266.62,0.0
2010-07-05,51,27.2,19.8,1.50,13.7,28.4,49604.38,5.0
2010-07-06,53,21.9,16.2,3.00,20.4,43.6,45019.86,7.0
2010-07-07,3,22.8,14.0,0.00,12.3,32.0,54205.64,0.0
2010-07-08,3,28.1,12.9,0.00,8.9,18.7,53903.59,0.0
2010-07-09,3,31.9,16.7,0.00,11.0,22.0,53856.93,0.0
2010-07-10,1,35.2,20.0,0.00,11.3,25.6,53659.53,0.0
2010-07-11,2,36.0,23.7,0.00,15.9,31.7,53082.12,0.0
2010-07-12,2,36.1,21.9,0.00,16.2,30.2,53125.08,0.0
2010-07-13,61,27.7,20.1,4.20,16.3,45.4,45673.29,5.0
2010-07-14,2,31.4,18.1,0.00,15.0,28.4,52862.24,0.0
2010-07-15,3,29.0,23.0,0.00,17.3,37.1,50896.73,0.0
2010-07-16,51,32.7,19.1,0.10,11.3,28.4,52987.12,1.0
2010-07-17,61,29.4,20.3,5.30,18.2,37.4,26484.32,10.0
2010-07-18,61,23.6,16.9,3.60,18.7,32.8,28083.65,5.0
2010-07-19,2,24.7,15.6,0.00,11.0,16.2,51187.91,0.0
2010-07-20,3,27.5,13.9,0.00,13.6,31.0,44531.28,0.0
2010-07-21,2,31.4,18.9,0.00,11.5,25.6,52590.70,0.0
2010-07-22,61,30.4,19.8,2.40,13.3,29.5,49174.59,3.0
2010-07-23,63,23.3,16.2,25.60,14.6,37.1,23619.09,16.0
2010-07-24,55,19.8,16.9,5.30,22.8,52.6,0.00,11.0
2010-07-25,3,20.4,15.0,0.00,23.8,46.1,42209.60,0.0
2010-07-26,3,22.5,12.9,0.00,10.0,19.4,50881.60,0.0
2010-07-27,3,24.1,13.2,0.00,11.0,19.4,51148.50,0.0
2010-07-28,53,23.6,15.0,1.20,18.2,35.3,44945.31,3.0
2010-07-29,2,21.9,13.3,0.00,19.4,43.6,48392.14,0.0
2010-07-30,3,22.4,13.4,0.00,14.8,33.5,46002.93,0.0
2010-07-31,3,24.8,13.3,0.00,13.1,29.9,50418.93,0.0
2010-08-01,3,28.0,15.3,0.00,13.0,36.0,50096.02,0.0
2010-08-02,51,25.8,17.9,1.00,12.7,32.0,24037.27,5.0
2010-08-03,61,20.2,15.2,11.50,15.0,30.6,5610.07,18.0
2010-08-04,3,22.8,12.9,0.00,11.4,26.6,46363.04,0.0
2010-08-05,3,25.0,15.1,0.00,12.0,35.3,36277.82,0.0
2010-08-06,51,25.1,14.7,1.50,16.7,30.2,28536.45,6.0
2010-08-07,53,24.5,17.3,2.20,17.8,40.7,28271.27,8.0
2010-08-08,53,24.0,16.0,2.60,10.9,23.8,40113.36,7.0
2010-08-09,51,23.7,15.1,0.20,12.1,25.6,47539.82,1.0
2010-08-10,3,24.6,15.1,0.00,12.4,19.8,49427.01,0.0
2010-08-11,53,23.8,15.9,3.60,11.6,37.8,42526.73,8.0
2010-08-12,63,25.9,15.0,21.30,12.1,35.3,22945.53,11.0
2010-08-13,61,23.3,15.8,6.50,13.5,29.5,38250.70,5.0
2010-08-14,63,18.9,16.4,25.90,13.4,28.8,0.00,15.0
2010-08-15,63,25.5,16.6,12.60,19.1,40.3,13448.74,13.0
2010-08-16,63,22.6,15.9,8.20,12.7,31.7,34597.01,7.0
2010-08-17,55,19.9,14.5,3.80,20.6,41.0,44813.97,10.0
2010-08-18,53,21.2,14.1,3.80,20.6,49.3,31872.19,9.0
2010-08-19,51,20.4,14.1,0.30,22.0,48.6,46470.78,2.0
2010-08-20,3,23.9,12.4,0.00,11.3,25.9,45203.17,0.0
2010-08-21,2,27.9,13.8,0.00,11.1,27.7,45678.67,0.0
2010-08-22,61,27.5,17.0,6.90,17.2,47.5,41123.53,7.0
2010-08-23,61,25.0,17.9,8.50,19.2,49.7,12257.29,11.0
2010-08-24,3,22.1,16.7,0.00,24.2,43.2,45188.94,0.0
2010-08-25,3,19.5,15.2,0.00,29.1,57.2,44388.06,0.0
2010-08-26,61,16.3,14.4,15.90,11.1,35.6,0.00,19.0
2010-08-27,63,17.9,13.9,19.90,15.8,35.3,0.00,18.0
2010-08-28,51,17.1,12.1,2.10,20.4,46.1,25335.23,9.0
2010-08-29,53,16.5,10.9,4.00,17.7,41.8,29519.30,9.0
2010-08-30,61,14.8,11.1,11.90,13.5,26.3,28347.77,16.0
2010-08-31,3,17.7,11.0,0.00,21.6,46.1,42779.16,0.0
2010-09-01,51,17.7,10.0,0.60,17.3,37.1,37697.87,4.0
2010-09-02,51,17.0,10.7,0.60,17.2,37.1,33490.36,3.0
2010-09-03,3,16.6,8.2,0.00,9.8,23.8,41822.39,0.0
2010-09-04,63,16.7,9.4,5.90,7.9,17.6,41749.74,11.0
2010-09-05,1,17.0,8.1,0.00,11.8,26.3,43200.00,0.0
2010-09-06,3,16.4,6.3,0.00,11.6,28.4,43189.20,0.0
2010-09-07,51,16.9,7.4,0.40,22.8,44.3,24575.33,3.0
2010-09-08,3,18.1,10.2,0.00,28.1,54.7,38630.95,0.0
2010-09-09,61,15.6,13.0,10.10,16.2,31.3,262.20,16.0
2010-09-10,51,19.0,11.6,1.60,14.4,37.4,35636.70,8.0
2010-09-11,3,20.9,9.5,0.00,10.0,21.6,39649.08,0.0
2010-09-12,3,23.0,11.8,0.00,11.6,21.6,40874.41,0.0
2010-09-13,51,17.5,12.4,2.90,16.1,32.0,24829.83,11.0
2010-09-14,61,15.3,11.9,10.70,20.9,40.0,0.00,14.0
2010-09-15,63,17.6,13.0,7.40,24.0,58.7,33998.64,8.0
2010-09-16,61,16.6,10.5,4.20,29.4,54.4,37883.65,5.0
2010-09-17,51,15.5,10.0,0.70,23.7,47.5,37668.78,3.0
2010-09-18,51,14.0,9.6,0.10,23.9,48.6,38738.80,1.0
2010-09-19,3,15.2,8.3,0.00,20.0,40.0,31520.26,0.0
2010-09-20,3,17.0,11.5,0.00,18.4,34.9,20019.21,0.0
2010-09-21,3,17.9,10.7,0.00,21.9,43.2,38333.57,0.0
2010-09-22,2,18.8,7.9,0.00,12.5,20.2,39901.55,0.0
2010-09-23,2,21.9,9.9,0.00,12.4,23.8,39120.01,0.0
2010-09-24,3,23.3,12.6,0.00,14.4,29.9,37170.45,0.0
2010-09-25,61,16.1,12.2,15.70,12.0,29.2,0.00,18.0
2010-09-26,61,12.8,10.3,19.00,16.0,30.6,0.00,24.0
2010-09-27,61,15.4,10.5,14.20,23.0,43.6,0.00,23.0
2010-09-28,51,12.7,9.9,0.30,22.7,45.4,0.00,2.0
2010-09-29,51,12.5,7.5,0.10,16.6,33.8,24603.19,1.0
2010-09-30,3,11.8,5.5,0.00,7.9,19.8,21031.20,0.0
2010-10-01,3,11.5,5.8,0.00,16.0,34.9,36096.78,0.0
2010-10-02,3,12.7,6.3,0.00,19.2,39.6,23772.43,0.0
2010-10-03,3,17.2,8.6,0.00,23.6,46.1,35924.70,0.0
2010-10-04,3,17.7,10.0,0.00,24.9,50.8,36120.86,0.0
2010-10-05,3,17.6,12.5,0.00,19.9,42.5,27857.63,0.0
2010-10-06,51,17.0,12.0,0.10,19.4,38.5,23028.04,1.0
2010-10-07,3,17.2,11.6,0.00,15.0,28.4,16614.57,0.0
2010-10-08,3,13.7,9.0,0.00,18.6,35.6,17771.53,0.0
2010-10-09,3,13.8,6.5,0.00,17.3,36.0,32361.27,0.0
2010-10-10,2,13.4,3.2,0.00,12.8,29.2,35359.57,0.0
2010-10-11,3,10.0,1.5,0.00,10.9,24.5,20164.63,0.0
2010-10-12,3,10.6,6.3,0.00,5.1,11.9,28449.82,0.0
2010-10-13,3,10.3,3.3,0.00,8.0,15.8,24939.52,0.0
2010-10-14,3,11.4,1.4,0.00,17.3,35.6,19790.56,0.0
2010-10-15,51,10.5,6.6,0.70,14.4,28.1,1234.44,6.0
2010-10-16,53,7.7,4.9,8.10,20.7,40.7,0.00,23.0
2010-10-17,2,9.5,3.2,0.00,15.2,33.1,33618.21,0.0
2010-10-18,3,8.6,1.7,0.00,12.4,20.5,33554.54,0.0
2010-10-19,51,8.1,2.4,2.00,20.1,37.1,0.00,11.0
2010-10-20,53,8.7,4.0,1.80,28.0,58.7,8551.33,8.0
2010-10-21,51,6.9,2.5,1.60,28.2,56.2,22246.93,6.0
2010-10-22,3,8.8,4.8,0.00,27.6,52.2,4616.06,0.0
2010-10-23,3,10.4,2.4,0.00,18.9,35.6,31119.97,0.0
2010-10-24,53,10.7,6.1,0.80,37.4,71.3,20402.90,2.0
2010-10-25,3,8.6,2.3,0.00,19.6,37.4,31013.75,0.0
2010-10-26,3,8.4,0.4,0.00,17.4,36.0,30463.82,0.0
2010-10-27,3,8.3,-0.2,0.00,16.2,32.4,8723.33,0.0
2010-10-28,51,10.6,7.2,0.10,14.1,27.7,6782.76,1.0
2010-10-29,3,12.6,7.2,0.00,16.6,30.2,28800.00,0.0
2010-10-30,3,14.8,6.1,0.00,16.6,29.2,26335.61,0.0
2010-10-31,3,11.7,3.4,0.00,10.1,21.6,25200.00,0.0
2010-11-01,51,9.1,3.3,0.60,8.1,15.8,540.69,4.0
2010-11-02,3,9.3,4.3,0.00,16.6,31.3,0.00,0.0
2010-11-03,55,12.9,9.0,3.10,25.1,51.1,3464.70,6.0
2010-11-04,61,14.5,8.8,12.10,32.9,62.6,0.00,21.0
2010-11-05,61,14.6,11.2,4.50,32.1,61.9,0.00,12.0
2010-11-06,63,11.1,4.2,17.20,22.3,39.2,3303.01,15.0
2010-11-07,3,5.9,1.5,0.00,10.2,17.6,143.15,0.0
2010-11-08,51,3.6,2.0,2.00,13.0,25.9,0.00,9.0
2010-11-09,51,6.9,2.4,0.20,10.2,22.0,17419.76,1.0
2010-11-10,51,7.8,1.9,0.20,14.3,24.8,18379.47,1.0
2010-11-11,55,6.7,3.4,3.30,29.4,77.8,25161.59,6.0
2010-11-12,53,10.7,6.6,2.00,33.5,78.1,24307.30,7.0
2010-11-13,61,12.2,9.3,10.40,18.8,45.0,0.00,21.0
2010-11-14,55,16.7,10.2,2.50,21.5,45.4,24666.58,5.0
2010-11-15,53,12.3,7.1,2.70,16.0,29.2,3526.09,5.0
2010-11-16,61,7.0,3.7,14.70,23.1,47.5,0.00,24.0
2010-11-17,53,3.9,2.1,6.00,21.6,40.0,0.00,13.0
2010-11-18,55,6.3,4.0,10.40,10.7,21.6,0.00,13.0
2010-11-19,53,7.8,4.3,1.50,16.3,32.8,11619.46,4.0
2010-11-20,3,7.6,2.7,0.00,7.9,14.0,11381.51,0.0
2010-11-21,3,6.9,1.5,0.00,16.6,29.9,17678.38,0.0
2010-11-22,61,5.2,4.1,12.20,19.5,37.4,0.00,18.0
2010-11-23,51,4.4,1.5,1.00,23.4,48.2,545.43,6.0
2010-11-24,71,1.7,-0.5,3.00,23.8,43.9,0.00,13.0
2010-11-25,3,1.3,-2.2,0.00,15.1,32.0,23114.87,0.0
2010-11-26,73,0.9,-1.9,2.20,11.8,23.0,1948.19,8.0
2010-11-27,3,-0.4,-3.9,0.00,6.9,16.2,16157.82,0.0
2010-11-28,3,-0.0,-4.5,0.00,16.5,34.9,22028.23,0.0
2010-11-29,71,-0.6,-2.4,0.00,21.6,45.0,0.00,0.0
2010-11-30,71,-2.4,-5.7,0.00,21.6,37.8,4304.43,0.0
2010-12-01,73,-6.1,-9.6,1.90,28.2,55.4,952.92,4.0
2010-12-02,73,-8.2,-15.2,6.10,27.5,57.2,0.00,13.0
2010-12-03,3,-5.0,-15.4,0.00,14.3,27.0,18541.87,0.0
2010-12-04,3,-4.5,-10.0,0.00,17.1,30.6,22617.07,0.0
2010-12-05,75,1.1,-5.7,4.60,23.5,42.8,0.00,13.0
2010-12-06,3,0.4,-4.2,0.00,15.9,29.2,7045.05,0.0
2010-12-07,71,-1.1,-7.0,0.00,12.5,20.2,18693.79,0.0
2010-12-08,73,-2.2,-3.8,7.80,15.6,29.9,0.00,17.0
2010-12-09,73,-0.0,-3.8,1.60,26.4,50.4,6588.31,9.0
2010-12-10,73,0.0,-4.6,0.80,20.4,36.7,14408.80,3.0
2010-12-11,75,5.0,0.4,7.60,30.9,58.7,0.00,17.0
2010-12-12,71,2.7,-3.8,2.80,24.8,50.4,0.00,8.0
2010-12-13,71,-1.5,-8.6,0.10,18.2,36.7,18025.07,1.0
2010-12-14,73,-1.0,-4.8,3.00,24.1,45.4,7344.25,14.0
2010-12-15,73,-1.8,-13.6,5.30,24.7,46.4,4504.59,14.0
2010-12-16,73,-3.1,-14.3,2.90,23.8,45.4,13859.77,6.0
2010-12-17,73,-2.6,-6.1,5.00,19.5,37.1,497.92,15.0
2010-12-18,3,-4.8,-12.7,0.00,8.2,16.2,20365.04,0.0
2010-12-19,73,-5.8,-15.2,1.40,16.2,28.1,7200.00,4.0
2010-12-20,73,-2.6,-12.8,5.10,21.2,40.0,3243.46,9.0
2010-12-21,3,-7.6,-15.4,0.00,12.2,19.4,2348.54,0.0
2010-12-22,71,-0.3,-7.1,1.90,16.9,31.3,0.00,11.0
2010-12-23,71,0.8,-0.3,2.60,13.4,25.2,1859.13,8.0
2010-12-24,73,0.0,-1.7,2.90,22.6,42.5,0.00,10.0
2010-12-25,73,-2.2,-6.5,3.20,23.7,45.7,0.00,10.0
2010-12-26,71,-6.7,-10.3,0.20,17.6,32.8,18002.46,1.0
2010-12-27,73,-3.0,-6.8,3.60,14.6,24.1,3729.07,12.0
2010-12-28,71,-3.7,-7.9,0.20,14.0,24.5,0.00,1.0
2010-12-29,3,-7.8,-10.0,0.00,6.2,11.2,0.00,0.0
